School Name,Address,State Name [Public School] Latest available year,Location ZIP [Public School] 2011-12,Location City [Public School] 2011-12
MARBLE HILL HIGH SCHOOL OF INTERNATIONAL STUDIES,"99 TERRACE VIEW AVENUE, Bronx NY 10463",New York,10463,BRONX
NEW WORLD HIGH SCHOOL,"921 East 228th Street, Bronx, NY 10466",New York,10466,BRONX
DISCOVERY HIGH SCHOOL,"2780 Reservoir Avenue, Bronx, NY 10468",New York,10468,BRONX
KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,"2780 Reservoir Avenue, Bronx, NY 10468",New York,10468,BRONX
THE CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,"2780 Reservoir Avenue, Bronx, NY 10468",New York,10468,BRONX
HIGH SCHOOL OF WORLD CULTURES,"1300 Boynton Avenue, Bronx, NY 10472",New York,10472,BRONX
PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,"1300 Boynton Avenue, Bronx, NY 10472",New York,10472,BRONX
FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUB,"1440 Story Avenue, Bronx, NY 10473",New York,10473,BRONX
PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD ST,"1980 Lafayette Avenue, Bronx, NY 10473",New York,10473,BRONX
HIGH SCHOOL FOR ENERGY AND TECHNOLOGY,"2474 CROTONA AVENUE, Bronx, NY 10458",New York,10458,Bronx
CROTONA INTERNATIONAL HIGH SCHOOL,"2474 CROTONA AVENUE, Bronx, NY 10458",New York,10458,Bronx
BRONX REGIONAL HS,"1010 REV. J. A. POLITE AVENUE, Bronx NY 10459",New York,10459,Bronx
NEW VISIONS CHARTER HIGH SCHOOL FOR HUMANITIES,"99 TERRACE VIEW AVENUE, Bronx NY 10463",New York,10463,Bronx
NEW VISIONS CHARTER HIGH SCHOOL FOR ADVANCED MATH AND SCIENCE,"99 TERRACE VIEW AVENUE, Bronx NY 10463",New York,10463,Bronx
Academy for Scholarship and Entrepreneurship: A College Board School,"921 East 228th Street, Bronx, NY 10466",New York,10466,Bronx
Bronx Academy for Software Engineering (BASE),"2474 CROTONA AVENUE, Bronx, NY 10458",New York,10458,Bronx
Bronx Design and Construction Academy,"333 East 151st Street, Bronx, NY 10451",New York,10451,Bronx
Bronx Engineering and Technology Academy,"99 Terrace View Ave, Bronx NY, 10463",New York,10463,Bronx
Bronxdale High School,"925 Astor Ave, Bronx NY 10469",New York,10469,Bronx
DEWITT CLINTON HIGH SCHOOL,"100 WEST MOSHOLU PARKWAY SOUTH, BRONX NY",New York,,BRONX
"Health, Education, and Research occupations High School (H.E.R.O)","455 Southern Blvd, Bronx NY 10455",New York,10455,Bronx
Bronx Compass High School,"1980 Lafayette Avenue, Bronx, NY 10473",New York,10473,Bronx
Comprehensive Model School Project,"580 Crotona Park South, Bronx, NY 10456",New York,10456,BRONX
Eagle Academy for Young Men,"4143 3rd Avenue, Bronx, NY 10457",New York,10457,Bronx
International Community High School,"345 Brook Avenue, Bronx, NY 10454",New York,10454,Bronx
Language and Innovation,"925 Astor Avenue, Bronx, NY 10469",New York,10469,Bronx
JUAN MOREL CAMPOS SECONDARY SCHOOL,"215 Heyward Street, Brooklyn, NY 11206",New York,11206,BROOKLYN
LYONS COMMUNITY SCHOOL,"223 Graham Avenue, Brooklyn, NY 11206",New York,11206,BROOKLYN
"SCIENCE, TECH AND RESEARCH HIGH SCHOOL AT ERASMUS",911 FLATBUSH AVENUE Brooklyn NY 11226,New York,11226,BROOKLYN
BROOKLYN COLLEGIATE A COLLEGE BOARD SCHOOL,"2021 Bergen Street, Brooklyn, NY 11233",New York,11233,BROOKLYN
DR SUSAN S MCKINNEY SECONDARY SCHOOL OF THE ARTS,"101 Park Avenue, Brooklyn, NY, 11205",New York,11205,BROOKLYN
TEACHERS PREPERATORY HIGH SCHOOL," 226 Bristol Street, Brooklyn, NY 11212",New York,11212,BROOKLYN
EAST NEW YORK FAMILY ACADEMY,2057 LINDEN BOULEVARD; Brooklyn NY 11207,New York,11207,BROOKLYN
SCHOOL FOR HUMAN RIGHTS,"600 Kingston Ave, Brooklyn, NY 11203",New York,11203,BROOKLYN
ALL CITY LEADERSHIP SECONDARY SCHOOL,"321 PALMETTO STREET, Brooklyn, NY 11237",New York,11237,BROOKLYN
BROOKLYN SCHOOL FOR GLOBAL STUDIES,"284 Baltic Street, Brooklyn, NY 11201",New York,11201,BROOKLYN
SCHOOL FOR DEMOCRACY AND LEADERSHIP,"600 Kingston Avenue, Brooklyn, NY 11203",New York,11203,BROOKLYN
PARK SLOPE COLLEGIATE,"237 7th Avenue, Brooklyn, NY 11215",New York,11215,BROOKLYN
FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,"5800 20th Ave, Brooklyn, NY 11204",New York,11204,BROOKLYN
CLARA BARTON HIGH SCHOOL,"901 Classon Avenue, Brooklyn, NY 11225",New York,11225,BROOKLYN
SECONDARY SCHOOL FOR LAW,"237 7 AVENUE, Brooklyn, NY 11215",New York,11215,BROOKLYN
SECONDARY SCHOOL FOR JOURNALISM,"237 7th Ave, Brooklyn, NY 11215",New York,11215,BROOKLYN
W H MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SC,"145 Pennsylvania Avenue, Brooklyn,  New York 11207  ",New York,11207,BROOKLYN
BROOKLYN BRIDGE ACADEMY,"6565 FLATLANDS AVENUE, Brooklyn NY 11236",New York,11236,BROOKLYN
FREDERICK DOUGLAS ACADEMY VII HIGH SCHOOL,"226 Bristol Street, Brooklyn, NY 11212",New York,11212,BROOKLYN
BUSHWICK LEADERS HS FOR ACADEMIC EXCELLENCE,"797 Bushwick Ave, Brooklyn NY 11221",New York,11221,BROOKLYN
WILLIAM E GRADY CAREER AND TECHNICAL EDUCATION HIG,"25 BRIGHTON 4TH ROAD, Brooklyn NY 11235",New York,11235,BROOKLYN
BUSHWICK SCHOOL FOR SOCIAL JUSTICE,"400 IRVING AVENUE, Brooklyn NY 11237",New York,11237,BROOKLYN
COBBLE HILL SCHOOL OF AMERICAN STUDIES,"347 BALTIC STREET, Brooklyn NY 11201",New York,11201,BROOKLYN
THE URBAN ASSEMBLY SCHOOL OF MUSIC AND ART AT WATE,"49 FLATBUSH AVENUE EXTENSION, Brookly NY 11201",New York,11201,BROOKLYN
IT TAKES A VILLAGE ACADEMY,"5800 TILDEN AVENUE, Brooklyn NY 11203",New York,11203,BROOKLYN
FOUNDATIONS ACADEMY,"70 TOMPKINS AVENUE, Brooklyn NY 11206",New York,11206,BROOKLYN
TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH S,"1 Wells St, Brooklyn NY, 11208",New York,11208,BROOKLYN
EBC HIGH SCHOOL FOR PUBLIC SERVICE BUSHWICK,"1155 DEKALB AVENUE, Brooklyn NY 11221",New York,11221,BROOKLYN
HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT,"911 FLATBUSH AVENUE, Brooklyn NY 11226",New York,11226,BROOKLYN
HS FOR PUBLIC SERVICE HEROES OF TOMORROW,"600 Kingston Avenue, Brooklyn, NY 11203",New York,11203,BROOKLYN
MULTICULTURAL HIGH SCHOOL,"999 Jamaica Avenue, Brooklyn, NY 11208",New York,11208,BROOKLYN
BROOKLYN PREPARATORY HIGH SCHOOL,"257 North 6th Street, Brooklyn, NY 11211",New York,11211,BROOKLYN
PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,"850 Grand Street, Brooklyn, NY 11211",New York,11211,BROOKLYN
SCHOOL FOR LEGAL STUDIES,"850 Grand Street, Brooklyn, NY 11211",New York,11211,BROOKLYN
WILLIAMSBURG PREPARATORY SCHOOL,"257 North 6th Street, Brooklyn, NY 11211",New York,11211,BROOKLYN
METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,"985 Rockaway Avenue, Brooklyn, NY 11212",New York,11212,BROOKLYN
HIGH SCHOOL OF SPORTS MANAGEMENT,"2630 Benson Avenue, Brooklyn, NY 11214",New York,11214,BROOKLYN
LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,"2630 Benson Avenue, Brooklyn, NY 11214",New York,11214,BROOKLYN
FRANCES PERKINS ACADEMY,"50 Bedford Avenue, Brooklyn, NY 11222",New York,11222,BROOKLYN
W E B DUBOIS ACADEMIC HIGH SCHOOL,"402 Eastern Parkway, Brooklyn, NY 11225",New York,11225,BROOKLYN
SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,"173 Conover Street, Brooklyn, NY 11231",New York,11231,BROOKLYN
OLYMPUS ACADEMY,"755 East 100th Street, Brooklyn, NY 11236",New York,11236,BROOKLYN
ACORN COMMUNITY HIGH SCHOOL,"561 Grand Avenue, Brooklyn, NY 11238",New York,11238,BROOKLYN
"The HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY","850 Grand Street, Brooklyn, NY 11211",New York,11211,BROOKLYN
ACADEMY FOR HEALTH CAREERS,"150 ALBANY AVE, BROOKLYN, NY 11213",New York,11213,BROOKLYN
Academy of Hospitality and Tourism,"911 FLATBUSH AVENUE, Brooklyn NY 11226",New York,11226,BROOKLYN
Automotive High School,"50 Bedford Avenue, Brooklyn, NY 11222",New York,11222,BROOKLYN
Boys and Girls High School,"1700 Fulton Street, Brooklyn, NY 11213",New York,11213,BROOKLYN
Brooklyn School for Music and Theatrer,"883 Classon Ave, Brooklyn NY 11225",New York,11225,BROOKLYN
Brooklyn Theatre Arts High School,"6565 FLATLANDS AVENUE, Brooklyn NY 11236",New York,11236,BROOKLYN
FDNY High School for Fire and Life Safey,"400 Pennsylvania Ave, Brooklyn NY 11207",New York,11207,BROOKLYN
HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,"1600 Rockaway Parkway, Brooklyn NY 11236",New York,11236,BROOKLYN
JOHN DEWEY HIGH SCHOOL,"50 Avenue X, Brooklyn NY 11223",New York,11223,BROOKLYN
Pathways in Technology Early College High School          (P-Tech),"150 Albany Avenue, Brooklyn, NY 11213",New York,11213,BROOKLYN
School for International Studies,"284 Baltic Street, Brooklyn, NY 11201",New York,11201,BROOKLYN
"Science Skills Center High School for Science, Technology and the Creative Arts",49 FLATBUSH AVENUE EXTENSION Brooklyn NY 11201,New York,11201,BROOKLYN
The Brooklyn Academy for Global Finance,"125 Stuyvesant Avenue, Brooklyn, NY 11221",New York,11221,BROOKLYN
Urban Action Academy,"1600 Rockaway Parkway, Brooklyn, NY 11236",New York,11236,BROOKLYN
William E. Grady Career and Technical Education High School,"25 Brighton 4th Road, Brooklyn, NY 11235",New York,11235,BROOKLYN
Williamsburg High School for Architecture and Design,"257 North 6th Street, Brooklyn, NY 11211",New York,11211,BROOKLYN
World Academy for Total Community Health High School (WATCH),"400 PENNSYLVANIA AVENUE, Brooklyn, NY 11207",New York,11207,BROOKLYN
Aspirations Diploma Plus High School,"1495 HERKIMER STREET, Brooklyn NY 11233",New York,11233,BROOKLYN
Brooklyn Community Arts and Media High School,"300 Willoughby Avenue, Brooklyn, NY 11205",New York,11205,BROOKLYN
Brooklyn Leadership (transfer school),"300 Willoughby Avenue, Brooklyn, NY 11205",New York,11205,BROOKLYN
Cultural Academy for the Arts and Sciences,"5800 Tilden Avenue, Brooklyn, NY 11203",New York,11203,BROOKLYN
High School of Telecommunication Arts and Technology,"350 67th Street, Brooklyn, NY 11220",New York,11220,BROOKLYN
School for Classics,"370 Fountain Avenue, Brooklyn, NY 11208",New York,11208,BROOKLYN
Urban Assembly School for Law and Justice,"283 Adams Street, Brooklyn, NY 11201",New York,11201,BROOKLYN
Victory Collegiate High School,"6565 Flatlands Avenue, Brooklyn, NY 11236",New York,11236,BROOKLYN
Young Women's Leadership School of Brooklyn,"325 Bushwick Avenue, Brooklyn, NY 11206",New York,11206,BROOKLYN
