School Name,Address,Minutes from Grand Central Terminal,Minutes from Fulton Center,Minutes from MetroTech Center
BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,"730 CONCOURSE VILLAGE WEST, BRONX NY 11201",22,32,47
BRONX LIGHTHOUSE CHARTER SCHOOL,"1001 INTERVALE AVE, BRONX NY 10459",26,36,51
BRONX PREPARATORY CHARTER SCHOOL,"3872 3RD AVE, BRONX NY 10457",43,56,62
BRONX REGIONAL HIGH SCHOOL,"1010 REV. J. A. POLITE AVENUE, Bronx NY 10459",38,53,62
BRONX RIVER HIGH SCHOOL,"3000 East Tremont Avenue, Bronx NY 10461",45,59,70
"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE","244 East 163rd Street, Bronx, NY 10451",32,47,53
BRONX SCHOOL OF LAW AND FINANCE,"99 Terrace View Avenue, Bronx, NY 10463",28,62,57
BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,"928 SIMPSON ST, BRONX NY 11208",31,45,57
BRONX THEATRE HIGH SCHOOL,"99 Terrace View Avenue, Bronx, NY 10463",28,62,57
Bronxdale High School,"925 Astor Ave, Bronx NY 10469",59,69,79
BROOKLYN ACADEMY HIGH SCHOOL,"832 MARCY AVE, BROOKLYN NY 11212",34,25,25
BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,"883 CLASSON AVE, BROOKLYN NY 11212",29,22,18
BROOKLYN BRIDGE ACADEMY,"6565 FLATLANDS AVENUE, Brooklyn NY 11236",65,54,47
BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,"2021 Bergen Street, Brooklyn, NY 11233",49,30,27
"Brooklyn Community High School of Communication, Arts and Media","300 Willoughby Avenue, Brooklyn, NY 11205",39,30,15
BROOKLYN FRONTIERS HIGH SCHOOL,"112 SCHERMERHORN ST, BROOKLYN NY 11221",21,12,9
BROOKLYN GENERATION SCHOOL,"6565 FLATLANDS AVE, BROOKLYN NY 10002",60,55,48
Brooklyn High School for Law and Technology,"1396 BROADWAY, Brooklyn NY 11221",34,27,31
BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,"300 WILLOUGHBY AVE, BROOKLYN NY 11694",32,23,19
BROOKLYN HIGH SCHOOL OF THE ARTS,"345 Dean Street, Brooklyn NY 11217",24,16,10
BROOKLYN INSTITUTE FOR LIBERAL ARTS,"600 KINGSTON AVE, BROOKLYN NY 10033",40,29,30
Brooklyn International High School,"49 Flatbush Avenue Extension, Brooklyn, NY 11201",30,17,7
BROOKLYN LAB SCHOOL,"999 JAMAICA AVE, BROOKLYN NY 10451",47,43,33
BROOKLYN PREPARATORY HIGH SCHOOL,"257 North 6th Street, Brooklyn, NY 11211",21,28,32
BROOKLYN SCHOOL FOR GLOBAL STUDIES,"284 Baltic Street, Brooklyn, NY 11201",33,19,11
BROOKLYN SCHOOL FOR MATH AND RESEARCH,"400 IRVING AVE, BROOKLYN NY 10452",28,32,47
