School Name,Address,Minutes from Grand Central Terminal,Minutes from Fulton Center,Minutes from MetroTech Center
MANHATTAN BRIDGES HIGH SCHOOL,"525 West 50th Street, New York, NY 10019",18,25,32
MANHATTAN BUSINESS ACADEMY,"351 West 18th Street, New York, NY 10011",24,16,22
MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,"260 PLEASANT AVENUE, Manhattan NY 10029",25,45,55
MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,"240 2ND AVE, NEW YORK NY 10472",64,78,98
Manhattan International High School,"317,E 67th St,New York,NY,10065-6051",12,25,35
MANHATTAN THEATRE LAB HIGH SCHOOL,"122 AMSTERDAM AVE, NEW YORK NY 10455",19,23,34
MANHATTAN VILLAGE ACADEMY,"43 WEST 22ND ST, NEW YORK NY 10016",11,17,20
MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,"99 TERRACE VIEW AVENUE, Bronx NY 10463",28,62,57
MARTA VALLE HIGH SCHOOL,"145 STANTON STREET, Manhattan NY 10002",22,16,13
"Math, Engineering, and Science Academy Charter High School","231 Palmetto Street, Brooklyn 11221, BROOKLYN NY 11221",41,44,32
"Mathematics, Science Research and Technology Magnet High School","207-01 116th St, Queens NY 11411",71,83,87
METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,"985 Rockaway Avenue, Brooklyn, NY 11212",50,38,33
METROPOLITAN HIGH SCHOOL,"1180 Rev James A Polite Avenue, Bronx, NY 10459",44,57,66
Middle College High School at LaGuardia Community College,"4535 VAN DAM ST, LONG ISLAND CITY NY 10451",17,29,41
MILLENNIUM ART ACADEMY,"1980 LAFAYETTE AVE, BRONX NY 10456",56,63,79
MONROE ACADEMY FOR VISUAL ARTS AND DESIGN,"1300 BOYNTON AVE, BRONX NY 11101",36,50,68
MORRIS ACADEMY FOR COLLABORATIVE STUDIES,"1100 Boston Road, Bronx, NY 10456",45,66,67
MOTT HALL BRONX HIGH SCHOOL,"1595 Bathgate Avenue, Bronx, NY 10457",55,46,64
MOTT HALL HIGH SCHOOL,"6 EDGECOMBE AVENUE, Manhattan NY 10030",31,32,39
MOTT HALL V,"1551 EAST 172ND ST, BRONX NY 10026",37,51,62
MOTT HAVEN COMMUNITY HIGH SCHOOL,"455 SOUTHERN BLVD, BRONX NY 10455",26,40,57
Mott Haven Village Preparatory High School,"701 Saint Anns Avenue, Bronx, NY 10455",39,51,61
MULTICULTURAL HIGH SCHOOL,"999 Jamaica Avenue, Brooklyn, NY 11208",50,45,39
MURRAY HILL ACADEMY,"111 EAST 33RD STREET, Manhattan NY 10016",3,19,29
NEW DAWN CHARTER HIGH SCHOOL,"242 HOYT ST, BROOKLYN NY 11217",30,19,13
NEW DESIGN HIGH SCHOOL,"350 GRAND STREET, Manhattan NY 10002",23,17,12
NEW EXPLORERS HIGH SCHOOL,"730 CONCOURSE VILLAGE WEST, Bronx NY 10451",27,42,57
NEW HEIGHTS ACADEMY CHARTER SCHOOL,"1818 Amsterdam Avenue, Manhattan 10031, Manhattan NY 10031",41,41,48
NEW UTRECHT HIGH SCHOOL,"1601 80 STREET, Brooklyn NY 11214",51,41,38
NEW VISIONS CHARTER HIGH SCHOOL FOR ADVANCED MATH and science,"99 Terrace View Ave, BRONX NY 10463",27,51,68
NEW VISIONS CHARTER HIGH SCHOOL FOR ADVANCED MATH AND SCIENCE II,"900 TINTON AVENUE, Bronx NY 10456",39,51,61
New Visions Charter High School for Advanced Math and Science III,"3000 Avenue X, Brooklyn 11235, BROOKLYN NY 11235",70,62,58
NEW VISIONS CHARTER HIGH SCHOOL FOR HUMANITIES II,"455 SOUTHERN BLVD, BRONX NY 10455",26,40,57
NEW VISIONS CHARTER HIGH SCHOOL FOR THE HUMANITIES,"99 Terrace View Ave, Bronx NY 10463",27,51,68
New Visions Charter High School for the Humanities III,"3000 Avenue X, Brooklyn 11235, BROOKLYN NY 11235",70,62,58
NEW WORLD HIGH SCHOOL,"921 East 228th Street, Bronx, NY 10466",68,77,86
NEW YORK CITY MUSEUM SCHOOL,"333 WEST 17 STREET, MANHATTAN NY 10011",15,14,21
NEWCOMERS HIGH SCHOOL,"2801 41st Avenue, Long Island City, NY 11101",15,33,42
Northside Charter High School,"424 Leonard Street, Brooklyn 11222, BROOKLYN NY 11222",25,40,32
"NYC CHARTER HS ARCHITECTURE, ENGINEERING, CONSTRUC","838 BROOK AVE, BRONX NY 10454",31,45,57
OLYMPUS ACADEMY,"755 East 100th Street, Brooklyn, NY 11236",51,58,52
ORIGINS HIGH SCHOOL,"3000 Avenue X, Brooklyn 11235, BROOKLYN NY 11235",70,62,58
Pablo Neruda Academy for Architecture and World Studies,"1980 Lafayette Avenue, Bronx, NY 10473",58,75,86
PACE HIGH SCHOOL,"100 HESTER ST, NEW YORK NY 11412",25,18,10
PAN AMERICAN INTERNATIONAL HIGH SCHOOL,"45-10 94th Street, Elmhurst, NY 11373",34,59,55
PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,"1300 Boynton Avenue, Bronx, NY 10472",36,57,67
PARK EAST HIGH SCHOOL,"23034 EAST 105TH ST, NEW YORK NY 10459",15,29,46
PARK SLOPE COLLEGIATE,"237 7th Avenue, Brooklyn, NY 11215",35,29,23
Pathways College Preparatory School: A College Board School,"10989 204TH ST, SAINT ALBANS NY 10469",60,70,85
Pathways in Technology Early College High School (P-Tech),"150 Albany Avenue, Brooklyn, NY 11213",47,32,29
PEACE AND DIVERSITY ACADEMY,"1180 Rev James A Polite Avenue, Bronx, NY 10459",44,57,66
PELHAM LAB HIGH SCHOOL,"3000 East Tremont Avenue, Bronx NY 10461",45,59,70
PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,"400 PENNSYLVANIA AVE, BROOKLYN NY 11432",43,35,33
PROFESSIONAL PATHWAYS HIGH SCHOOL,"3000 Avenue X, Brooklyn 11235, BROOKLYN NY 11235",70,62,58
PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,"850 Grand Street, Brooklyn, NY 11211",21,28,36
Providing Urban Learners Success In Education High School,"560 EAST 179TH ST, BRONX NY 10461",51,59,64
QUEENS ACADEMY HIGH SCHOOL,"13811 35TH AVE, FLUSHING NY 10455",43,54,68
QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,"167-01 GOTHIC DRIVE; Jamaica, NY 11432",45,65,61
QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,"16020 GOETHALS AVE, JAMAICA NY 10456",51,60,68
"Queens High School for Information, Research & Technology (QIRT)","8-21 Bay 25th Street, Far Rockaway, NY 11691",75,63,59
Queens High School of Language Studies,"35-01 UNION STREET, Queens, NY 11354",42,67,63
QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,"162-02 HILLSIDE AVENUE, Queens NY 11432",39,59,55
Queens Vocational and Technical High School,"37-02 47th Avenue, Long Island City, NY 11101",19,31,44
RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,"521 WEST AVE, BROOKLYN NY 11203",57,50,41
Renaissance Charter High School,"35-59 81st Street, Queens 11372, Queens NY 11372",26,50,46
Renaissance Charter High School for Innovation,"410 EAST 100 STREET, Manhattan NY 10029",22,42,52
Renaissance High School for Musical Theater & Technology,"3000 EAST TREMONT AVE, BRONX NY 10456",45,59,70
REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,"123 WEST 43RD ST, NEW YORK NY 11215",45,36,28
RESEARCH AND SERVICE HIGH SCHOOL,"1700 Fulton Street, Brooklyn, NY 11213",38,19,16
Richard R. Green High School for Teaching,"7 Beaver Street, New York, NY 10004",14,5,12
Richmond Hill High School,"89-30 114th Street, Richmond Hill, NY 11418",54,57,50
ROADS CHARTER SCHOOL 1,"1495 HERKIMER ST, BROOKLYN NY 11215",34,27,24
ROADS CHARTER SCHOOL II,"1010 REV JAMES POLITE AVE, BRONX NY 10454",30,40,55
ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,"7540 PARSONS BLVD, FLUSHING NY 11231",60,61,68
ROBERT F. WAGNER JR SECONDARY SCHOOL ARTS AND TECHN,"4707 30TH PLACE, LONG ISLAND CITY NY 11212",21,33,39
Robert H. Goddard High School of Communication Arts and Technology,"13830 LAFAYETTE ST, OZONE PARK NY 10463",55,50,47
ROCKAWAY COLLEGIATE HIGH SCHOOL,"10000 BEACH CHANNEL DR, ROCKAWAY PARK NY 11208",65,55,51
Rockaway Park High School for Environmental Sustainability,"10000 BEACH CHANNEL DR, ROCKAWAY PARK NY 10457",65,55,51
SATELLITE ACADEMY HIGH SCHOOL,"120 WEST 30TH ST, NEW YORK NY 10455",31,33,40
SCHOOL FOR DEMOCRACY AND LEADERSHIP,"600 Kingston Avenue, Brooklyn, NY 11203",49,34,31
SCHOOL FOR EXCELLENCE,"1110 BOSTON ROAD, BRONX, NY 10456",46,68,68
SCHOOL FOR HUMAN RIGHTS,"600 Kingston Ave, Brooklyn, NY 11203",49,34,31
School for International Studies,"284 Baltic Street, Brooklyn, NY 11201",33,19,11
SCHOOL FOR LEGAL STUDIES,"850 Grand Street, Brooklyn, NY 11211",21,28,36
SCHOOL FOR TOURISM AND HOSPITALITY,"900 TINTON AVE, BRONX NY 11236",28,38,54
SCHUYLERVILLE PREPARATORY HIGH SCHOOL,"3000 East Tremont Avenue, Bronx NY 10461",45,59,70
"Science Skills Center High School for Science, Technology and the Creative Arts",49 FLATBUSH AVENUE EXTENSION Brooklyn NY 11201,35,21,7
"Science, Technology and Research Early College High School at Erasmus",911 FLATBUSH AVENUE Brooklyn NY 11226,45,39,25
SECONDARY SCHOOL FOR JOURNALISM,"237 7th Ave, Brooklyn, NY 11215",35,29,23
SECONDARY SCHOOL FOR LAW,"237 7 AVENUE, Brooklyn, NY 11215",35,29,23
SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,"360 EAST 145 STREET, Bronx NY 10454",28,48,57
SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,"173 Conover Street, Brooklyn, NY 11231",50,30,25
Stephen Mather  for Building Arts and Craftsmanship High School,"439 WEST 49TH STREET, Manhattan, NY 10019",15,23,30
SUNSET PARK HIGH SCHOOL,"153 35TH ST, BROOKLYN NY 10451",35,26,18
TEACHERS PREPARATORY HIGH SCHOOL," 226 Bristol Street, Brooklyn, NY 11212",50,35,30
The Brooklyn Academy of Global Finance,"125 Stuyvesant Avenue, Brooklyn, NY 11221",39,35,24
THE CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,"2780 Reservoir Avenue, Bronx, NY 10468",39,54,69
THE CINEMA SCHOOL,"1551 EAST 172ND ST, BRONX NY 11201",37,51,62
THE COLLEGE ACADEMY,"549 AUDUBON AVENUE, Manhattan NY 10040",56,55,50
THE EQUALITY CHARTER SCHOOL,"715 Castle Hill Avenue, Bronx 10473 , BRONX NY 10475",62,75,90
THE GLOBAL LEARNING COLLABORATIVE,"145 WEST 84TH ST, NEW YORK NY 10023",28,32,39
"The HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY","850 Grand Street, Brooklyn, NY 11211",21,28,36
The High School of Fashion Industries,"225 West 25th St, Manhattan NY 10011",19,16,22
"The Marie Curie School for Medicine, Nursing, and Health Professions","120 WEST 231ST ST, BRONX NY 11217",43,52,68
The Metropolitan Soundview High School,"1300 BOYTON AVE, BRONX NY 10002",36,50,68
THE NEW VISIONS CHARTER HIGH SCHOOL FOR THE HUMANI,"99 TERRACE VIEW AVESTE 138, BRONX NY 10004",27,51,68
THE OPPORTUNITY CHARTER SCHOOL,"240 West 113 Street, Manhattan 10026, Manhattan NY 10026",30,32,39
The School for Classics: An Academy of Thinkers,"370 Fountain Avenue, Brooklyn, NY 11208",59,40,36
The Urban Assembly BRONX ACADEMY OF LETTERS,"339 Morris Avenue, Bronx, NY 10451",23,44,55
THE URBAN ASSEMBLY SCHOOL OF MUSIC AND ART AT WATE,"49 FLATBUSH AVENUE EXTENSION, Brookly NY 11201",35,21,7
THEATRE ARTS PRODUCTION COMPANY SCHOOL (TAPCo),"2225 WEBSTER AVE, BRONX NY 11216",40,49,57
Thomas Edison Career and Technical Education High School,"165-65 84th Avenue, Jamaica, NY 11432",49,69,65
THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL,"200-214 WEST 135TH STREET; Manhattan, NY 10030",29,38,45
UFT Charter,"800 Van Siclen Ave, Brooklyn 11207, BROOKLYN NY 11207",56,42,42
Union Square Academy for Health Sciences,"40 Irving Place, New York, NY 10003",10,18,24
UNITY CENTER FOR URBAN TECHNOLOGIES,"111 EAST 33RD STREET, Manhattan NY 10016",3,19,29
UNIVERSITY HEIGHTS SECONDARY SCHOOL,"701 ST ANNS AVE, BRONX NY 11373",29,39,54
UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,"200 MONROE STREET, Manhattan NY 10002",26,22,17
UNIVERSITY PREP CHARTER HIGH SCHOOL,"600 ST ANN'S AVE, BRONX NY 10455",26,36,51
Urban Action Academy,"1600 Rockaway Parkway, Brooklyn, NY 11236",54,63,57
URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,"350 Grand Street, New York, NY 10002",23,17,12
URBAN ASSEMBLY FOR THE PERFORMING ARTS,"509 West 129th Street, New York, NY 10027",34,38,44
Urban Assembly Gateway School for Technology,"439 West 49th Street, New York, NY 10019",15,23,30
Urban Assembly Institute of Math and Science for Young Women,"283 ADAMS ST, BROOKLYN NY 11206",22,12,5
URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE,"1595 Bathgate Avenue, Bronx, NY 10457",55,46,64
URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,"730 CONCOURSE VILLAGE WEST, BRONX NY 11211",22,32,47
URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,"4200 16TH AVE, BROOKLYN NY 11211",44,35,26
Urban Assembly School for Emergency Management,"411 PEARL STREET, Manhattan, NY 10038",18,11,22
Urban Assembly School for Global Commerce,"2005 Madison Avenue, New York, NY 10035",22,42,52
Urban Assembly School for Green Careers,"145 West 84th Street, New York, NY 10024",36,31,38
Urban Assembly School for Law and Justice,"283 Adams Street, Brooklyn, NY 11201",27,12,5
Urban Assembly School for Media Studies,"122 AMSTERDAM AVENUE, Manhattan NY 10023",25,23,34
URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,"2024 MOHEGAN AVE, BRONX NY 11211",40,50,65
URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,"26 Broadway, New York, NY 10004",19,4,11
URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,"525 West 50th Street, New York, NY 10019",18,25,32
URBAN DOVE CHARTER SCHOOL,"600 LAFAYETTE AVE, BROOKLYN NY 11216",27,20,17
Validus Preparatory Academy: An Expeditionary Learning School,"1595 Bathgate Avenue, Bronx, NY 10457",55,46,64
VANGUARD HIGH SCHOOL,"317 East 67th Street, New York, NY 10065",12,32,35
VERITAS ACADEMY,"35-01 UNION STREET, Queens, NY 11354",42,67,63
Victory Collegiate High School,"6565 Flatlands Avenue, Brooklyn, NY 11236",65,54,47
VOYAGES PREPARATORY HIGH SCHOOL SOUTH QUEENS,"156-10 Baisley Boulevard, Queens NY 11434",60,70,84
W. E. B. DUBOIS ACADEMIC HIGH SCHOOL,"402 Eastern Parkway, Brooklyn, NY 11225",32,21,19
W. H. Maxwell Career and Technical Education High School,"145 Pennsylvania Avenue, Brooklyn,  New York 11207  ",45,26,23
WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING AND VISUAL ARTS,"215 West 114 St, Manhattan NY 10026",23,33,40
WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,"511 West 182nd Street, New York, NY 10033",50,52,57
WEST BRONX ACADEMY FOR THE FUTURE,"500 East Fordham Road, Bronx, NY 10458",26,47,63
WEST BROOKLYN COMMUNITY HIGH SCHOOL,"1053 41ST ST, BROOKLYN NY 11207",42,32,29
WESTCHESTER SQUARE ACADEMY,"3000 EAST TREMONT AVE, BRONX NY 11433",45,59,70
William E. Grady Career and Technical Education High School,"25 BRIGHTON 4TH ROAD, Brooklyn NY 11235",64,53,44
WILLIAMSBURG CHARTER HIGH SCHOOL,"198 VARET ST, BROOKLYN NY 11206",24,28,33
Williamsburg Collegiate Charter School,"157 WILson Street, Brooklyn NY 11211",34,23,30
Williamsburg High School for Architecture and Design,"257 North 6th Street, Brooklyn, NY 11211",21,28,32
WILLIAMSBURG PREPARATORY SCHOOL,"257 North 6th Street, Brooklyn, NY 11211",21,28,32
WINGS ACADEMY,"1122 EAST 180 STREET, Bronx NY 10460",38,56,66
WOMEN'S ACADEMY OF EXCELLENCE,"456 WHITE PLAINS ROAD, Bronx NY 10473",53,84,82
World Academy for Total Community Health High School (WATCH),"400 PENNSYLVANIA AVENUE, Brooklyn, NY 11207",51,36,31
WORLD VIEW HIGH SCHOOL,"100 WEST MOSHOLU PARKWAY SOUTH, BRONX NY",40,55,70
YORK EARLY COLLEGE ACADEMY,"10835 167TH ST, JAMAICA NY 10029",60,70,74
YOUNG WOMEN'S LEADERSHIP SCHOOL,"105 EAST 106TH ST, NEW YORK NY 11206",47,47,43
Young Women's Leadership School of Brooklyn,"325 Bushwick Avenue, Brooklyn, NY 11206",25,33,32
"YOUNG WOMEN'S LEADERSHIP SCHOOL, Astoria","23-15 NEWTOWN AVENUE, Queens NY 11102",25,47,52
"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS","150-91 87 Road, Queens NY 11432",35,45,54
